Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brewery,City,State
Pub Beer,1436,0.05,18,409,American Pale Lager,12,10 Barrel Brewing Company,Bend, OR
Devil's Cup,2265,0.066,,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
Rise of the Phoenix,2264,0.071,61,178,American IPA,12,18th Street Brewery,Gary, IN
Sinister,2263,0.09,30,178,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN
Sex and Candy,2262,0.075,,178,American IPA,12,18th Street Brewery,Gary, IN
Black Exodus,2261,0.077,,178,Oatmeal Stout,12,18th Street Brewery,Gary, IN
Lake Street Express,2260,0.045,,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
Foreman,2259,0.065,,178,American Porter,12,18th Street Brewery,Gary, IN
Jade,2258,0.055,,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
Cone Crusher,2131,0.086,,178,American Double / Imperial IPA,12,18th Street Brewery,Gary, IN
Sophomoric Saison,2099,0.072,,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
Regional Ring Of Fire,2098,0.073,,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
Garce SelÃƒÂ©,2097,0.069,,178,Saison / Farmhouse Ale,12,18th Street Brewery,Gary, IN
Troll Destroyer,1980,0.085,,178,Belgian IPA,12,18th Street Brewery,Gary, IN
Bitter Bitch,1979,0.061,60,178,American Pale Ale (APA),12,18th Street Brewery,Gary, IN
Ginja Ninja,2318,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR
Cherried Away,2170,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR
Rhubarbarian,2169,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR
BrightCider,1502,0.06,,155,Cider,12,2 Towns Ciderhouse,Corvallis, OR
He Said Baltic-Style Porter,1593,0.082,,369,Baltic Porter,12,21st Amendment Brewery,San Francisco, CA
He Said Belgian-Style Tripel,1592,0.082,,369,Tripel,12,21st Amendment Brewery,San Francisco, CA
Lower De Boom,1036,0.099,92,369,American Barleywine,8.4,21st Amendment Brewery,San Francisco, CA
Fireside Chat,1024,0.079,45,369,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
Marooned On Hog Island,976,0.079,,369,American Stout,12,21st Amendment Brewery,San Francisco, CA
Bitter American,876,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
Hell or High Watermelon Wheat (2009),802,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
Hell or High Watermelon Wheat (2009),801,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
21st Amendment Watermelon Wheat Beer (2006),800,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
21st Amendment IPA (2006),799,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA
Brew Free! or Die IPA (2008),797,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA
Brew Free! or Die IPA (2009),796,0.07,70,369,American IPA,12,21st Amendment Brewery,San Francisco, CA
Special Edition: Allies Win The War!,531,0.085,52,369,English Strong Ale,12,21st Amendment Brewery,San Francisco, CA
Hop Crisis,432,0.097,94,369,American Double / Imperial IPA,12,21st Amendment Brewery,San Francisco, CA
Bitter American (2011),353,0.044,42,369,American Pale Ale (APA),12,21st Amendment Brewery,San Francisco, CA
Fireside Chat (2010),321,0.079,45,369,Winter Warmer,12,21st Amendment Brewery,San Francisco, CA
Back in Black,173,0.068,65,369,American Black Ale,12,21st Amendment Brewery,San Francisco, CA
Monk's Blood,11,0.083,35,369,Belgian Dark Ale,12,21st Amendment Brewery,San Francisco, CA
Brew Free! or Die IPA,10,0.07,65,369,American IPA,12,21st Amendment Brewery,San Francisco, CA
Hell or High Watermelon Wheat,9,0.049,17,369,Fruit / Vegetable Beer,12,21st Amendment Brewery,San Francisco, CA
Bimini Twist,2519,0.07,82,68,American IPA,12,3 Daughters Brewing,St Petersburg, FL
Beach Blonde,2518,0.05,23,68,American Blonde Ale,12,3 Daughters Brewing,St Petersburg, FL
Rod Bender Red,2517,0.059,28,68,American Amber / Red Ale,12,3 Daughters Brewing,St Petersburg, FL
Passion Fruit Prussia,2545,0.035,11,61,Berliner Weissbier,12,4 Hands Brewing Company,Saint Louis, MO
Send Help,2544,0.045,18,61,American Blonde Ale,12,4 Hands Brewing Company,Saint Louis, MO
Cast Iron Oatmeal Brown,2324,0.055,,61,American Brown Ale,12,4 Hands Brewing Company,Saint Louis, MO
Reprise Centennial Red,2288,0.06,38,61,American Amber / Red Ale,12,4 Hands Brewing Company,Saint Louis, MO
Alter Ego,2287,0.055,68,61,American Black Ale,12,4 Hands Brewing Company,Saint Louis, MO
Divided Sky,2286,0.065,,61,American IPA,12,4 Hands Brewing Company,Saint Louis, MO
Resurrected,2285,0.065,,61,American IPA,12,4 Hands Brewing Company,Saint Louis, MO
Contact High,1870,0.05,28,61,American Pale Wheat Ale,12,4 Hands Brewing Company,Saint Louis, MO
Galaxyfest,2603,0.065,38,28,American IPA,16,450 North Brewing Company,Columbus, IN
Citrafest,2602,0.05,45,28,American IPA,16,450 North Brewing Company,Columbus, IN
Barn Yeti,2220,0.09,25,28,Belgian Strong Dark Ale,16,450 North Brewing Company,Columbus, IN
Scarecrow,2219,0.069,65,28,American IPA,16,450 North Brewing Company,Columbus, IN
Ironman,2218,0.09,50,28,English Strong Ale,16,450 North Brewing Company,Columbus, IN
Honey Kolsch,2217,0.046,15,28,Kölsch,16,450 North Brewing Company,Columbus, IN
Copperhead Amber,2216,0.052,18,28,Belgian Dark Ale,16,450 North Brewing Company,Columbus, IN
Rude Parrot IPA,972,0.059,75,482,American IPA,16,7 Seas Brewing Company,Gig Harbor, WA
British Pale Ale (2010),866,0.054,30,482,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA
British Pale Ale,48,0.054,30,482,English Pale Ale,16,7 Seas Brewing Company,Gig Harbor, WA
Ballz Deep Double IPA,47,0.084,82,482,American Double / Imperial IPA,16,7 Seas Brewing Company,Gig Harbor, WA
Wolfman's Berliner,1583,0.038,,374,Berliner Weissbier,12,7venth Sun,Dunedin, FL
Colorado Native,1165,0.055,26,463,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO
Colorado Native (2011),431,0.055,26,463,American Amber / Red Lager,12,AC Golden Brewing Company,Golden, CO
Jockamo IPA,516,0.065,52,534,American IPA,12,Abita Brewing Company,Abita Springs, LA
Purple Haze,515,0.042,13,534,Fruit / Vegetable Beer,12,Abita Brewing Company,Abita Springs, LA
Abita Amber,514,0.045,17,534,American Amber / Red Lager,12,Abita Brewing Company,Abita Springs, LA
Citra Ass Down,2540,0.082,68,63,American IPA,16,Against The Grain Brewery,Louisville, KY
The Brown Note,2539,0.05,20,63,American Brown Ale,16,Against The Grain Brewery,Louisville, KY
Citra Ass Down,2686,0.08,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY
London Balling,2685,0.125,80,2,English Barleywine,16,Against the Grain Brewery,Louisville, KY
35 K,2684,0.077,25,2,Milk / Sweet Stout,16,Against the Grain Brewery,Louisville, KY
A Beer,2683,0.042,42,2,American Pale Ale (APA),16,Against the Grain Brewery,Louisville, KY
Rules are Rules,2682,0.05,25,2,German Pilsener,16,Against the Grain Brewery,Louisville, KY
Flesh Gourd'n,2681,0.066,21,2,Pumpkin Ale,16,Against the Grain Brewery,Louisville, KY
Sho'nuff,2680,0.04,13,2,Belgian Pale Ale,16,Against the Grain Brewery,Louisville, KY
Bloody Show,2679,0.055,17,2,American Pilsner,16,Against the Grain Brewery,Louisville, KY
Rico Sauvin,2678,0.076,68,2,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY
Coq de la Marche,2677,0.051,38,2,Saison / Farmhouse Ale,16,Against the Grain Brewery,Louisville, KY
Kamen Knuddeln,2676,0.065,,2,American Wild Ale,16,Against the Grain Brewery,Louisville, KY
Pile of Face,2675,0.06,65,2,American IPA,16,Against the Grain Brewery,Louisville, KY
The Brown Note,2674,0.05,20,2,English Brown Ale,16,Against the Grain Brewery,Louisville, KY
Maylani's Coconut Stout,1594,0.053,35,368,American Stout,16,Airways Brewing Company,Kent, WA
Oatmeal PSA,1162,0.05,35,368,American Pale Ale (APA),16,Airways Brewing Company,Kent, WA
Pre Flight Pilsner,1137,0.052,33,368,American Pilsner,16,Airways Brewing Company,Kent, WA
P-Town Pilsner,2403,0.04,20,118,American Pilsner,12,Alameda Brewing,Portland, OR
Klickitat Pale Ale,2402,0.053,36,118,American Pale Ale (APA),12,Alameda Brewing,Portland, OR
Yellow Wolf Imperial IPA,2401,0.082,103,118,American Double / Imperial IPA,12,Alameda Brewing,Portland, OR
Freeride APA,1921,0.053,40,271,American Pale Ale (APA),12,Alaskan Brewing Company,Juneau, AK
Alaskan Amber,1920,0.053,18,271,Altbier,12,Alaskan Brewing Company,Juneau, AK
Hopalicious,2501,0.057,52,74,American Pale Ale (APA),12,Ale Asylum,Madison, WI
Kentucky Kölsch,1535,0.043,14,389,Kölsch,16,Alltech's Lexington Brewing Company,Lexington, KY
Kentucky IPA,1149,0.065,45,389,American IPA,16,Alltech's Lexington Brewing Company,Lexington, KY
Dusty Trail Pale Ale,1474,0.054,40,402,American Pale Ale (APA),16,Amnesia Brewing Company,Washougal, WA
Damnesia,1473,0.062,70,402,American IPA,16,Amnesia Brewing Company,Washougal, WA
Desolation IPA,837,0.062,43,402,American IPA,16,Amnesia Brewing Company,Washougal, WA
Liberty Ale,2592,0.059,47,36,American IPA,12,Anchor Brewing Company,San Francisco, CA
IPA,2578,0.065,,36,American IPA,12,Anchor Brewing Company,San Francisco, CA
Summer Wheat,2577,0.045,,36,American Pale Wheat Ale,12,Anchor Brewing Company,San Francisco, CA
California Lager,2103,0.049,19,36,American Amber / Red Lager,12,Anchor Brewing Company,San Francisco, CA
Brotherhood Steam,2102,0.056,,36,California Common / Steam Beer,12,Anchor Brewing Company,San Francisco, CA
Blood Orange Gose,2291,0.042,12,172,Gose,12,Anderson Valley Brewing Company,Boonville, CA
Keebarlin' Pale Ale,1818,0.042,40,172,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville, CA
"the Kimmie, the Yink and the Holy Gose",1738,0.048,12,172,Gose,12,Anderson Valley Brewing Company,Boonville, CA
Fall Hornin',1563,0.06,20,172,Pumpkin Ale,12,Anderson Valley Brewing Company,Boonville, CA
Barney Flats Oatmeal Stout,1520,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
Summer Solstice,1350,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA
Hop Ottin' IPA,1327,0.07,80,172,American IPA,12,Anderson Valley Brewing Company,Boonville, CA
Boont Amber Ale,1326,0.058,15,172,American Amber / Red Ale,12,Anderson Valley Brewing Company,Boonville, CA
Barney Flats Oatmeal Stout,1221,0.057,13,172,Oatmeal Stout,12,Anderson Valley Brewing Company,Boonville, CA
